FIRST NAME      LAST NAME       CITY                  PHONE NUMBER                LAST ID VOTING HISTORY
Zachery         Mccormick       Rockville             (301) 596-3473                    5              4
Hannah          Burnett         Bethesda              (301) 436-0657                    1              4
Hunter          Wheeler         Clarksburg            (301) 669-7884                    2              3
Inga            Collier         Laurel                (301) 274-6988                    4              4
Erica           Kent            Sandy Spring          (301) 879-3707                    2              4
Quemby          Sullivan        Clarksburg            (301) 667-2734                    1              5
Orson           Hines           Chevy Chase           (301) 271-8234                    2              2
Derek           Holden          Gaithersburg          (301) 796-5519                    5              4
Yen             Bush            Germantown            (301) 258-3715                    2              3
Burton          Parrish         Boyds                 (301) 222-0705                    3              8
Addison         Landry          Bethesda              (301) 542-6136                    4              5
Marcia          Vazquez         Highland              (301) 127-4691                    2              4
Rashad          Cruz            Mount Airy            (301) 870-9394                    3              5
Xanthus         Sutton          Gaithersburg          (301) 217-9652                    2              4
Galena          Barrera         Gaithersburg          (301) 412-2824                    3              5
Sylvia          Deleon          Silver Spring         (301) 889-7355                    4              3
Dai             Estrada         Beallsville           (301) 865-5447                    3              6
Cameron         Pollard         Burtonsvlile          (301) 111-6033                    2              4
Morgan          Henson          Silver Spring         (301) 565-7464                    5              4
Pascale         Hyde            Gaithersburg          (301) 599-3610                    3              5
Amy             Williams        Silver Spring         (301) 529-2511                    1              6
Jesse           Ayers           Germantown            (301) 429-3236                    3              4
Hu              Hopper          Silver Spring         (301) 803-3453                    1              5
Ray             Petty           Glen Echo             (301) 559-6153                    2              5
Teegan          Stephens        Germantown            (301) 277-2100                    1              4
Kristen         Mccullough      Silver Spring         (301) 526-4276                    4              5
Marah           Bruce           Spencerville          (301) 336-6686                    5              2
Aiko            Sanchez         Dickerson             (301) 774-4040                    3              4
Mary            Rojas           Gaithersburg          (301) 576-4553                    4              5
Anthony         Hampton         Rockville             (301) 784-7658                    1              3
Moses           Sosa            Silver Spring         (301) 819-0914                    3              4
Astra           Cross           Bethesda              (301) 541-0904                    2              3
Kelly           Obrien          Boyds                 (301) 275-7380                    1              3
Mason           Trevino         Rockville             (301) 915-0364                    3              3
Camden          Hull            Brinklow              (301) 539-4913                    5              5
Cain            Clark           Gaithersburg          (301) 507-8584                    4              5
Paul            Peterson        Cabin John            (301) 189-4595                    5              5
Jonas           Briggs          Gaithersburg          (301) 862-1142                    2              4
Callie          Alvarado        Chevy Chase           (301) 830-7809                    2              4
Vivien          Garcia          Germantown            (301) 195-6356                    1              5
Carter          Morris          Barnesville           (301) 402-5249                    5              5
Noel            Strong          Bethesda              (301) 513-8531                    5              3
Christian       Conrad          Sandy Spring          (301) 139-9098                    4              4
Kenneth         Mccoy           Burtonsvlile          (301) 563-5752                    1              2
Carson          Delgado         Laurel                (301) 147-8797                    3              3
Sloane          Hess            Gaithersburg          (301) 457-9585                    4              5
Faith           Rich            Barnesville           (301) 192-2511                    1              6
Len             Anthony         Damascus              (301) 578-6571                    1              3
Mia             Bowers          Bethesda              (301) 611-2604                    3              3
Ivan            Garcia          Gaithersburg          (301) 565-7117                    1              3
Carolyn         Joyce           Silver Spring         (301) 681-7972                    5              4
Hammett         Davenport       Chevy Chase           (301) 460-0770                    4              1
Renee           Chandler        Silver Spring         (301) 921-2263                    4              3
Len             Jordan          Rockville             (301) 640-4726                    5              4
Grace           Benson          Brinklow              (301) 990-6957                    1              4
Mohammad        Kemp            Bethesda              (301) 278-7034                    2              3
Colt            Duffy           Olney                 (301) 814-2875                    3              5
Aphrodite       Barton          Rockville             (301) 291-3691                    5              4
Brenna          Foster          Silver Spring         (301) 205-3210                    4              5
Tyrone          Ratliff         Spencerville          (301) 125-7618                    1              5
Barbara         Winters         Takoma Park           (301) 133-0703                    2              3
Rowan           Love            Germantown            (301) 422-3920                    1              3
Ferdinand       Case            Gaithersburg          (301) 740-9787                    5              5
Leah            York            Gaithersburg          (301) 714-9841                    4              7
Maryam          Baird           Brookeville           (301) 497-0037                    4              3
Henry           Hernandez       Dickerson             (301) 234-3928                    4              3
Holly           Bennett         Montgomery Village    (301) 862-5316                    4              3
Jonas           Mayer           Silver Spring         (301) 846-0351                    4              4
Benedict        Cochran         Barnesville           (301) 541-9325                    1              5
Kuame           Mccoy           Highland              (301) 813-2883                    2              5
Tana            Fuentes         Brookeville           (301) 947-3485                    1              4
Sean            Francis         Germantown            (301) 731-6366                    5              5
Anjolie         Doyle           Potomac               (301) 689-7886                    5              5
Dean            Sargent         Boyds                 (301) 530-1982                    3              5
Yoko            Prince          Silver Spring         (301) 627-9866                    4              3
Candace         Christian       Takoma Park           (301) 484-2126                    2              2
Kane            Burgess         Silver Spring         (301) 827-6979                    1              4
Evan            Mcguire         Rockville             (301) 688-2878                    4              2
Donna           Keller          Kensington            (301) 338-7828                    3              6
Justin          Santiago        Cabin John            (301) 478-4060                    5              3
Aileen          Giles           Rockville             (301) 478-4363                    5              3
Hanae           Park            Poolesville           (301) 333-3681                    2              4
Melissa         Bryant          Brookeville           (301) 998-5686                    4              1
Flynn           Whitney         Dickerson             (301) 343-6384                    5              4
Ahmed           Lowe            Olney                 (301) 390-4493                    5              4
Griffin         Klein           Brookeville           (301) 795-8014                    4              4
Amber           Finley          Burtonsvlile          (301) 376-3653                    4              6
Ivana           Burt            Sandy Spring          (301) 624-7324                    5              3
Genevieve       Byers           Germantown            (301) 321-7893                    5              4
Zeus            Buckley         Ashton                (301) 264-4668                    2              5
Jonas           Rivas           Potomac               (301) 127-2358                    3              2
Keely           Le              Clarksburg            (301) 160-7371                    2              5
Anastasia       Wolfe           Clarksburg            (301) 431-1810                    4              3
Connor          Cash            Rockville             (301) 225-6716                    4              5
Victor          Schmidt         Brookeville           (301) 268-6977                    3              3
Ulric           Wood            Bethesda              (301) 303-4907                    3              4
Karen           Schneider       Bethesda              (301) 808-0508                    2              3
Deanna          Pace            Damascus              (301) 623-0983                    3              3
Laith           Harding         Poolesville           (301) 814-5322                    4              6
Berk            Horne           Silver Spring         (301) 261-0662                    5              4
Ira             Bullock         Gaithersburg          (301) 438-0535                    3              5
Dennis          West            Rockville             (301) 563-3497                    1              3
Octavia         Cabrera         Spencerville          (301) 286-6738                    3              5
Taylor          Calhoun         Gaithersburg          (301) 600-3007                    1              4
Kelsie          Savage          Boyds                 (301) 644-5913                    1              4
Dorian          Park            Silver Spring         (301) 713-9299                    3              2
Hadley          Davidson        Laurel                (301) 281-4311                    5              5
Tallulah        Kim             Brookeville           (301) 162-0070                    5              5
Baker           Baker           Mount Airy            (301) 711-2506                    4              1
Whilemina       Crane           Barnesville           (301) 446-1017                    3              6
Noble           Phillips        Dickerson             (301) 885-6589                    3              6
Nicholas        Dunn            Silver Spring         (301) 876-3021                    1              3
Abigail         Garcia          Rockville             (301) 991-7892                    3              7
Alfonso         Sears           Bethesda              (301) 468-1295                    5              1
Jolie           Lyons           Mount Airy            (301) 859-9303                    2              5
Lester          Hayes           Rockville             (301) 994-0430                    2              4
Marah           Levy            Germantown            (301) 512-5870                    2              5
Zachery         Greene          Sandy Spring          (301) 923-5101                    5              6
Noel            Myers           Sandy Spring          (301) 971-0198                    3              2
Devin           Larsen          Rockville             (301) 805-8260                    2              5
Illiana         Mcgowan         Barnesville           (301) 596-7187                    4              3
Sawyer          Ayala           Rockville             (301) 703-3514                    4              4
Petra           Schwartz        Silver Spring         (301) 328-5137                    3              5
Delilah         Vasquez         Laurel                (301) 419-9406                    4              1
Adam            Mullen          Kensington            (301) 686-3449                    1              3
Venus           Duke            Bethesda              (301) 164-9507                    3              4
Trevor          Bradford        Chevy Chase           (301) 503-2076                    3              2
Phyllis         Molina          Burtonsvlile          (301) 453-8338                    5              3
Giselle         Hawkins         Cabin John            (301) 553-1736                    1              3
Chandler        Gonzales        Silver Spring         (301) 954-2136                    1              6
Deirdre         Quinn           Derwood               (301) 618-0726                    2              4
Armando         Spence          Germantown            (301) 506-0276                    3              4
Alika           Oneil           Silver Spring         (301) 750-3439                    1              5
Emma            Chavez          Silver Spring         (301) 286-1966                    3              7
Vivien          Hunter          Silver Spring         (301) 318-0178                    3              7
Nora            Branch          Silver Spring         (301) 149-4259                    4              5
Austin          Robinson        Silver Spring         (301) 165-8915                    3              3
Walker          Ingram          Silver Spring         (301) 525-4378                    2              3
Sarah           Puckett         Rockville             (301) 531-2681                    5              5
Helen           Sullivan        Bethesda              (301) 539-0191                    5              6
Byron           Whitaker        Chevy Chase           (301) 552-7350                    3              4
Astra           Mcbride         Gaithersburg          (301) 603-5931                    1              0
Xanthus         Navarro         Boyds                 (301) 305-7522                    3              2
Todd            Bowen           Chevy Chase           (301) 592-3769                    1              5
Rowan           Petty           Gaithersburg          (301) 739-7003                    1              3
Charles         Merrill         Bethesda              (301) 334-9067                    3              6
Kerry           Love            Germantown            (301) 257-7742                    5              6
Wayne           Alston          Sandy Spring          (301) 202-5859                    3              3
Luke            Thomas          Poolesville           (301) 262-0415                    4              6
Tashya          Holland         Boyds                 (301) 649-8576                    4              5
Derek           Alexander       Bethesda              (301) 567-5495                    5              3
Vincent         Camacho         Silver Spring         (301) 882-5476                    1              2
Garth           Carr            Bethesda              (301) 636-0694                    3              3
Raja            Willis          Montgomery Village    (301) 809-6316                    1              3
Nichole         Oconnor         Bethesda              (301) 734-8060                    2              5
Caryn           Griffith        Ashton                (301) 455-8638                    5              3
Cora            Robinson        Gaithersburg          (301) 358-3743                    4              4
Malachi         Simpson         Beallsville           (301) 350-9043                    5              6
Zelenia         Whitaker        Gaithersburg          (301) 883-9310                    5              3
Donovan         Davis           Silver Spring         (301) 990-9571                    5              3
Ignatius        Phillips        Gaithersburg          (301) 733-9251                    4              6
Wesley          Hurley          Rockville             (301) 412-9679                    4              5
Austin          Gross           Gaithersburg          (301) 237-6162                    1              2
Cleo            Stanley         Boyds                 (301) 189-6495                    5              3
Kylee           Greene          Bethesda              (301) 170-7673                    3              5
Hanae           Dillard         Bethesda              (301) 763-9382                    2              1
Kellie          Grant           Chevy Chase           (301) 881-2189                    1              6
Laurel          Sloan           Derwood               (301) 589-2607                    2              3
Claudia         Osborne         Dickerson             (301) 230-6027                    5              4
Cassidy         Gay             Silver Spring         (301) 159-3805                    4              7
Gregory         Ross            Gaithersburg          (301) 259-7250                    5              5
Gloria          Crosby          Bethesda              (301) 343-2426                    1              4
Kermit          Orr             Montgomery Village    (301) 698-7054                    4              6
Bradley         Koch            Laurel                (301) 467-7988                    4              4
Kelsie          Lloyd           Barnesville           (301) 385-6643                    3              5
Cameran         Perkins         Kensington            (301) 308-2313                    3              6
Dennis          Graham          Beallsville           (301) 197-4991                    2              5
Holly           Robinson        Olney                 (301) 710-2962                    5              5
Nadine          Albert          Silver Spring         (301) 277-6459                    1              4
Jenna           Dudley          Silver Spring         (301) 610-3777                    2              3
Burke           Gamble          Clarksburg            (301) 516-5461                    3              3
Lester          Hart            Mount Airy            (301) 308-4283                    4              4
Heidi           Watson          Gaithersburg          (301) 507-7675                    3              6
Iona            Yates           Clarksburg            (301) 576-7294                    1              4
Minerva         Herring         Bethesda              (301) 282-6618                    5              6
Piper           Townsend        Bethesda              (301) 664-5016                    3              2
Warren          Harrell         Brookeville           (301) 362-6713                    1              5
Pamela          Simmons         Montgomery Village    (301) 394-3383                    4              3
Gwendolyn       Page            Clarksburg            (301) 847-6670                    2              4
Elliott         Castro          Bethesda              (301) 161-7453                    3              6
Uma             Conner          Beallsville           (301) 104-4963                    4              5
Mechelle        Mercado         Poolesville           (301) 441-1043                    4              2
Raphael         Lloyd           Poolesville           (301) 570-2492                    1              3
Ora             Chavez          Rockville             (301) 644-6521                    2              5
Uriel           Sutton          Silver Spring         (301) 704-5965                    1              6
TaShya          Jordan          Takoma Park           (301) 379-2235                    2              4
Marcia          Vargas          Beallsville           (301) 502-0119                    1              4
Aphrodite       Lambert         Bethesda              (301) 731-4405                    3              5
Brandon         Carson          Brinklow              (301) 213-9001                    4              5
Courtney        Holt            Damascus              (301) 251-5954                    4              6
Adrian          Boyd            Chevy Chase           (301) 459-7055                    1              1
Wynne           Blackburn       Gaithersburg          (301) 458-0058                    3              3
Angelica        Sanford         Takoma Park           (301) 659-1771                    3              4
Darryl          Sanchez         Rockville             (301) 943-1740                    2              4
Eaton           Mclaughlin      Derwood               (301) 448-2840                    1              3
Doris           Harvey          Burtonsvlile          (301) 867-1200                    4              5
Karina          Garza           Montgomery Village    (301) 528-3970                    2              4
Garrison        Hoover          Germantown            (301) 611-6773                    1              6
Jescie          Gibbs           Potomac               (301) 737-1105                    2              3
Neville         Fitzgerald      Silver Spring         (301) 164-9297                    1              2
Ross            Daugherty       Silver Spring         (301) 271-2734                    1              3
Herman          Page            Silver Spring         (301) 880-9237                    2              5
Anastasia       Moody           Rockville             (301) 212-4296                    2              4
Simon           Lyons           Silver Spring         (301) 166-8300                    2              5
Uta             Ingram          Boyds                 (301) 941-0478                    3              3
Dexter          Day             Cabin John            (301) 367-8191                    4              5
Perry           Bentley         Silver Spring         (301) 267-0525                    2              6
Darryl          Greer           Silver Spring         (301) 310-2845                    1              1
Abdul           Bond            Ashton                (301) 562-4724                    5              3
Olivia          Bowman          Burtonsvlile          (301) 791-5207                    3              5
Wendy           Fischer         Glen Echo             (301) 826-5672                    1              5
Ainsley         Kennedy         Beallsville           (301) 738-7996                    1              5
Megan           Aguilar         Gaithersburg          (301) 805-9252                    5              8
Porter          Spears          Bethesda              (301) 631-6045                    5              5
Nita            Kelley          Ashton                (301) 532-0529                    3              5
Micah           Gonzales        Beallsville           (301) 827-7766                    3              5
David           Hopper          Silver Spring         (301) 960-9918                    3              2
Leonard         Hester          Rockville             (301) 624-9448                    2              5
Kirsten         Allison         Silver Spring         (301) 106-2614                    5              6
Eleanor         Everett         Germantown            (301) 479-0730                    3              5
Channing        Mcfarland       Rockville             (301) 573-7044                    2              3
Kaden           Fleming         Cabin John            (301) 678-0948                    2              5
Rina            Avila           Sandy Spring          (301) 397-9659                    4              3
Hayfa           Norris          Glen Echo             (301) 184-0279                    5              5
Charde          Vincent         Cabin John            (301) 527-1340                    5              3
Alexis          Shields         Boyds                 (301) 623-8171                    3              6
Sierra          Fulton          Silver Spring         (301) 394-2130                    5              5
Odette          Mcpherson       Sandy Spring          (301) 147-1811                    3              3
Sawyer          Burks           Brinklow              (301) 330-9987                    4              2
Gloria          Riggs           Bethesda              (301) 991-8988                    5              4
Cora            Hansen          Bethesda              (301) 971-7876                    4              7
Maxwell         Whitaker        Gaithersburg          (301) 829-5002                    1              4
Audra           Hester          Kensington            (301) 977-8686                    4              4
Joy             Saunders        Ashton                (301) 544-6839                    1              4
Mercedes        Tillman         Gaithersburg          (301) 210-4527                    1              6
Noelle          Nieves          Silver Spring         (301) 203-1561                    4              5
Kane            Barrett         Silver Spring         (301) 679-4498                    4              5
Carlos          Sawyer          Sandy Spring          (301) 852-2964                    1              2
Xavier          Alford          Burtonsvlile          (301) 575-7121                    5              4
Kameko          Brock           Dickerson             (301) 198-4797                    1              3
Travis          Spencer         Cabin John            (301) 329-8635                    3              2
Joshua          Parks           Gaithersburg          (301) 449-8900                    5              4
Kyla            Mays            Gaithersburg          (301) 422-8120                    3              6
Vivian          Huff            Bethesda              (301) 794-9321                    4              6
Alexander       Maxwell         Silver Spring         (301) 452-4846                    3              4
Urielle         Haley           Rockville             (301) 606-5372                    5              5
Timothy         Rosario         Burtonsvlile          (301) 535-0722                    1              4
Kelsey          Cooley          Gaithersburg          (301) 201-6093                    1              2
Ferdinand       Boyd            Germantown            (301) 675-3640                    3              4
Malik           Wade            Dickerson             (301) 322-2926                    5              4
Marny           Chambers        Rockville             (301) 992-5518                    1              2
Quintessa       Durham          Gaithersburg          (301) 771-8683                    2              6
Elijah          Valencia        Silver Spring         (301) 465-4675                    4              4
Brody           Patterson       Silver Spring         (301) 797-2945                    1              6
Howard          Ballard         Rockville             (301) 535-7252                    3              4
Nomlanga        Alford          Derwood               (301) 255-7368                    3              3
Lane            Lindsey         Bethesda              (301) 770-9291                    4              3
Idola           Church          Damascus              (301) 983-8227                    3              5
Christopher     Cochran         Gaithersburg          (301) 755-4080                    4              4
Daphne          Cook            Cabin John            (301) 158-6887                    1              5
Xyla            Cantrell        Highland              (301) 948-7653                    3              3
Jescie          Cantu           Silver Spring         (301) 833-6924                    2              5
Tara            Barrera         Derwood               (301) 584-4326                    2              3
Carly           Pitts           Rockville             (301) 839-7663                    5              3
Salvador        Bass            Gaithersburg          (301) 653-1356                    2              5
Wynne           Miranda         Spencerville          (301) 769-2747                    1              3
Camille         Hunter          Bethesda              (301) 530-5869                    4              4
Dalton          Pratt           Cabin John            (301) 541-6018                    3              6
Linda           Levy            Rockville             (301) 935-2270                    3              3
Camden          Hammond         Glen Echo             (301) 279-9701                    2              5
Jaquelyn        Levy            Damascus              (301) 260-0042                    2              4
Roary           Ayala           Spencerville          (301) 763-9230                    1              5
Amber           Sosa            Damascus              (301) 976-2184                    3              5
Lamar           Curtis          Gaithersburg          (301) 671-6941                    2              4
Nissim          Figueroa        Spencerville          (301) 434-3417                    3              3
Mary            Joseph          Bethesda              (301) 963-6265                    5              4
Malcolm         Merrill         Highland              (301) 901-5799                    1              6
Madeson         Shields         Silver Spring         (301) 933-0750                    5              6
Ivy             Nguyen          Silver Spring         (301) 749-3586                    4              4
Ria             Hutchinson      Bethesda              (301) 987-4034                    1              3
Nissim          Lott            Clarksburg            (301) 856-5323                    3              6
Tanek           Keith           Sandy Spring          (301) 349-3787                    1              2
Quincy          Guy             Silver Spring         (301) 984-0904                    4              4
Medge           Douglas         Silver Spring         (301) 862-4454                    2              4
Amir            Walsh           Montgomery Village    (301) 836-5163                    3              4
Whoopi          Harding         Sandy Spring          (301) 992-3559                    5              2
Carter          Kennedy         Bethesda              (301) 539-1502                    4              4
Imani           Rosario         Bethesda              (301) 841-6004                    2              1
Kylan           Park            Highland              (301) 839-5411                    4              4
Arden           Hayes           Highland              (301) 835-3708                    3              1
Chava           Mcdaniel        Takoma Park           (301) 684-0312                    5              6
Vaughan         Maxwell         Dickerson             (301) 846-9282                    2              4
Nash            Huff            Spencerville          (301) 128-6643                    2              5
Gemma           Barry           Silver Spring         (301) 662-1333                    4              3
Oliver          Petty           Brinklow              (301) 387-2280                    3              2
Adele           Travis          Dickerson             (301) 418-9577                    4              1
Bryar           Ware            Mount Airy            (301) 470-4917                    5              5
Aiko            Hardy           Rockville             (301) 129-7933                    5              2
Solomon         Atkinson        Woodbine              (301) 270-7614                    4              4
Olga            Browning        Bethesda              (301) 463-2858                    1              6
Aspen           Perry           Boyds                 (301) 324-1230                    4              3
Jaden           Waters          Rockville             (301) 404-9510                    1              1
Rigel           Preston         Gaithersburg          (301) 281-1518                    1              5
Chandler        Lowe            Gaithersburg          (301) 570-2866                    3              3
Jorden          Pate            Silver Spring         (301) 683-1295                    5              3
Joelle          Hewitt          Silver Spring         (301) 888-2403                    4              4
Keith           Guzman          Germantown            (301) 288-5915                    1              3
Vernon          Duke            Gaithersburg          (301) 670-4649                    3              6
Kennan          Leblanc         Sandy Spring          (301) 161-4400                    4              4
Ramona          Sweet           Burtonsvlile          (301) 549-3930                    2              3
Kadeem          Cain            Laurel                (301) 495-5166                    3              7
Lael            Barry           Burtonsvlile          (301) 845-0522                    1              5
Destiny         Dodson          Silver Spring         (301) 648-8714                    2              3
Eden            Moon            Silver Spring         (301) 844-8346                    5              5
Kevyn           Chaney          Glen Echo             (301) 352-2316                    3              3
Sydnee          Whitehead       Rockville             (301) 606-6192                    5              5
Elliott         Bonner          Highland              (301) 340-6310                    2              4
Felix           Mcdowell        Brookeville           (301) 628-0861                    3              3
Lacota          Silva           Burtonsvlile          (301) 944-1892                    4              5
Allistair       Serrano         Laurel                (301) 858-7472                    2              2
Marsden         Stewart         Bethesda              (301) 970-9260                    2              5
Cadman          Powers          Bethesda              (301) 793-1453                    3              6
Yasir           Branch          Bethesda              (301) 774-3288                    5              6
Nevada          Barlow          Bethesda              (301) 683-1109                    1              2
